year,month,tmin,tmax,tavg,precip
1985,1,34.3,54.9,44.6,1.75
1985,2,40.4,66.9,53.7,2.79
1985,3,40.4,63.2,51.8,4.42
1985,4,48.1,75.6,61.8,0.08
1985,5,48.6,77.2,62.9,0.03
1985,8,53.1,81.5,67.3,0
1985,9,52.7,77,64.8,0.79
1985,10,48.3,74.7,61.5,0.78
1985,11,40.8,60.4,50.6,3.88
1985,12,37,53.5,45.3,2.97
1986,1,44.9,60.9,52.8,4.5
1986,2,46.6,63.8,55.2,15.29
1986,3,47.1,68.9,58,7.08
1986,4,45,70.2,57.6,0.81
1986,5,48.6,76.2,62.4,0.19
1986,6,53.5,79.8,66.6,0.01
1986,7,54.1,81.6,67.8,0
1986,8,56,81.1,68.5,0
1986,10,53.1,78.3,65.7,0.26
1986,11,43.7,70,56.9,0.15
1987,1,38.1,57,47.6,4.11
1987,2,41.1,63.7,52.4,4.63
1987,3,42,65.9,54,4.28
1987,4,45.9,76.8,61.4,0.16
1987,5,51.4,77.9,64.7,0
1987,7,52.5,79.9,66.2,0
1987,10,51.9,77.2,64.5,1.52
1987,11,43.9,63.4,53.7,2.2
1987,12,41.8,55.1,48.4,7.65
1988,1,39.6,57,48.3,5.06
1988,2,40.4,66.3,53.3,0.48
1988,3,42.5,71.2,56.9,0.13
1988,4,46.2,71.7,58.9,2.29
1988,5,47.2,75.7,61.5,1.04
1988,6,53.3,80,66.6,0.19
1988,7,56.2,86.4,71.3,0
1988,8,54.9,80.7,67.8,0
1988,9,51.2,82.2,66.7,0
1988,10,50.2,75.2,62.7,0.11
1988,11,46.1,61.9,54,4.41
1988,12,38,57.2,47.6,3.39
1989,1,35.3,56.3,45.8,1.37
1989,2,36.6,57.4,47,1.37
1989,3,46.5,63.7,55.1,6.8
1989,4,47.6,72.9,60.2,0.9
1989,5,48.3,75.4,61.9,0.08
1989,6,54.1,80.6,67.3,0.09
1989,7,53.2,84.8,69,0
1989,8,54,80.8,67.4,0
1989,9,53.2,79.2,66.2,2.31
1989,10,48.1,73.6,60.8,1.48
1989,11,41.2,67.4,54.3,1.68
1989,12,33,56.8,44.9,0
1990,1,37.1,56.1,46.6,4.05
1990,2,35.8,58,46.8,3.5
1990,3,42.6,64.7,53.6,1.18
1990,4,48.8,72,60.4,0.34
1990,5,49.8,73.7,61.7,3.28
1990,6,53.2,80.5,66.9,0
1990,7,55.8,82.5,69.1,0
1990,8,57,81.4,69.2,0
1990,9,53.9,82,67.9,0.36
1990,10,47.1,79.4,63.3,0.23
1990,12,29.9,54.7,42.3,0.99
1991,1,36.5,58.4,47.4,0.46
1991,2,42.8,67.2,55,3.05
1991,3,41.8,60.1,50.9,10.64
1991,4,43.2,68.6,55.9,0.33
1991,5,46,72.8,59.4,0.15
1991,6,50.6,77.1,63.9,0.4
1991,7,54.8,80.1,67.5,0
1991,8,54.8,80.4,67.6,0.16
1991,9,53,82.7,67.9,0.01
1991,10,50.2,80.1,65.2,2.47
1991,11,43.2,68.1,55.7,0.84
1991,12,37.1,57.6,47.3,2.18
