date,red_weight,white_weight,red_price,white_price
1995,42.08,470,151,351
1996,43.16,437.6,611,469
1997,58.44,573.2,656,546
1998,53.32,477.6,643,521
1999,456.88,478,649,518
2000,72.64,601.2,628,500
2001,68.24,520,680,491
2002,72.68,515.2,614,431
2003,65.36,492,609,429
2004,65.56,454.4,627,487
2005,89.4,608.4,634,507
2006,78.96,505.2,637,503
2007,75,548.8,627,482
2008,67.04,535.2,661,543
2009,83.12,650,671,536
2010,82.04,615.2,628,501
2011,76.8,570.8,708,542
2012,91.68,690.4,884,625
2013,96.68,731.6,852,623
2014,85.64,701.2,893,596
2015,81.64,665.6,790,540
2016,91.2,700.4,919,598
2017,90,706.4,966,588
2018,97.92,733.6,1019,635
