STATION,NAME,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-01,0,0,7,4,0,0,0,15,0,0,0,27,0,0,0.72,64,1713,632,1.75,0,44.6,54.9,34.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-02,11,11,3,2,0,0,0,7,0,13,0,29,0,0,2.44,80,2041,328,2.79,0,53.7,66.9,40.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-03,11,0,11,7,0,0,0,0,0,3,0,33,0,0,1.91,77,2410,368,4.42,0,51.8,63.2,40.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-04,36,25,3,0,0,0,0,0,0,18,1,41,0,0,0.05,91,2516,106,0.08,0,61.8,75.6,48.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-05,62,25,1,0,0,0,0,0,0,23,2,41,0,0,0.03,91,2600,84,0.03,0,62.9,77.2,48.6
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-06,,,1,0,0,0,0,0,,,,47,0,0,0.05,,,,0.05,0,,,54.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-07,,,0,0,0,0,0,0,,,,52,0,0,0,,,,0,0,,,56.4
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-08,,73,0,0,0,0,0,0,0,28,2,47,0,0,0,90,,8,0,0,67.3,81.5,53.1
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-09,,30,4,3,0,0,0,0,0,23,2,46,0,0,0.37,93,,39,0.79,0,64.8,77,52.7
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-10,,17,3,1,0,0,0,0,0,22,1,42,0,0,0.76,97,,118,0.78,0,61.5,74.7,48.3
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-11,,1,9,7,0,0,0,7,0,6,0,29,0,0,1.14,86,,425,3.88,0,50.6,60.4,40.8
USC00046074,"NAPA STATE HOSPITAL, CA US",1985-12,,0,6,6,0,0,0,12,0,0,0,27,0,0,1.3,63,,611,2.97,0,45.3,53.5,37
